country	indicator	date	year_week	value	source	url
Germany	Daily_ICU_occupancy	2020-03-29	2020-W13	789	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-04-05	2020-W14	1787	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-04-12	2020-W15	2654	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-04-19	2020-W16	2735	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-04-26	2020-W17	2739	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-05-03	2020-W18	2310	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-05-10	2020-W19	1820	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-05-17	2020-W20	1384	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-05-24	2020-W21	1019	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-05-31	2020-W22	749	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-06-07	2020-W23	631	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-06-14	2020-W24	483	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-06-21	2020-W25	407	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-06-28	2020-W26	353	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-07-05	2020-W27	324	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-07-12	2020-W28	287	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-07-19	2020-W29	246	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-07-26	2020-W30	248	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-08-02	2020-W31	255	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-08-09	2020-W32	238	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-08-16	2020-W33	220	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-08-23	2020-W34	226	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-08-30	2020-W35	225	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-09-06	2020-W36	226	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-09-13	2020-W37	225	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-09-20	2020-W38	228	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-09-27	2020-W39	289	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-10-04	2020-W40	354	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-10-11	2020-W41	470	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-10-18	2020-W42	601	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-10-25	2020-W43	940	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-11-01	2020-W44	1563	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-11-08	2020-W45	2542	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-11-15	2020-W46	3118	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-11-22	2020-W47	3551	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-11-29	2020-W48	3769	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-12-06	2020-W49	3949	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-12-13	2020-W50	4259	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-12-20	2020-W51	4820	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2020-12-27	2020-W52	5226	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-01-03	2020-W53	5630	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-01-10	2021-W01	5552	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-01-17	2021-W02	5164	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-01-24	2021-W03	4816	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-01-31	2021-W04	4487	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-02-07	2021-W05	4207	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-02-14	2021-W06	3732	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-02-21	2021-W07	3239	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-02-28	2021-W08	2950	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-03-07	2021-W09	2816	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-03-14	2021-W10	2727	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-03-21	2021-W11	2849	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-03-28	2021-W12	3196	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-04-04	2021-W13	3668	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-04-11	2021-W14	4428	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-04-18	2021-W15	4653	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-04-25	2021-W16	4970	TESSy_COVID-19_combined_sources	NA
Germany	Daily_ICU_occupancy	2021-05-02	2021-W17	5033	TESSy_COVID-19_combined_sources	NA
