country	country_code	year_week	age_group	new_cases	population	rate_14_day_per_100k	source
Germany	DE	2020-01	<15yr	0	11477800	NA	TESSy_COVID-19
Germany	DE	2020-02	<15yr	NA	11477800	NA	TESSy_COVID-19
Germany	DE	2020-03	<15yr	NA	11477800	NA	TESSy_COVID-19
Germany	DE	2020-04	<15yr	0	11477800	NA	TESSy_COVID-19
Germany	DE	2020-05	<15yr	1	11477800	0.008712471031033822	TESSy_COVID-19
Germany	DE	2020-06	<15yr	1	11477800	0.017424942062067645	TESSy_COVID-19
Germany	DE	2020-07	<15yr	2	11477800	0.026137413093101466	TESSy_COVID-19
Germany	DE	2020-08	<15yr	1	11477800	0.026137413093101466	TESSy_COVID-19
Germany	DE	2020-09	<15yr	4	11477800	0.04356235515516911	TESSy_COVID-19
Germany	DE	2020-10	<15yr	38	11477800	0.3659237833034205	TESSy_COVID-19
Germany	DE	2020-11	<15yr	193	11477800	2.012580808168813	TESSy_COVID-19
Germany	DE	2020-12	<15yr	562	11477800	6.577915628430535	TESSy_COVID-19
Germany	DE	2020-13	<15yr	879	11477800	12.554670755719737	TESSy_COVID-19
Germany	DE	2020-14	<15yr	988	11477800	16.266183414940144	TESSy_COVID-19
Germany	DE	2020-15	<15yr	780	11477800	15.403648782867798	TESSy_COVID-19
Germany	DE	2020-16	<15yr	556	11477800	11.639861297461186	TESSy_COVID-19
Germany	DE	2020-17	<15yr	530	11477800	9.46174353970273	TESSy_COVID-19
Germany	DE	2020-18	<15yr	391	11477800	8.02418581958215	TESSy_COVID-19
Germany	DE	2020-19	<15yr	369	11477800	6.621477983585705	TESSy_COVID-19
Germany	DE	2020-20	<15yr	344	11477800	6.211991845127115	TESSy_COVID-19
Germany	DE	2020-21	<15yr	309	11477800	5.689243583265085	TESSy_COVID-19
Germany	DE	2020-22	<15yr	317	11477800	5.454006865427172	TESSy_COVID-19
Germany	DE	2020-23	<15yr	309	11477800	5.454006865427172	TESSy_COVID-19
Germany	DE	2020-24	<15yr	351	11477800	5.750230880482323	TESSy_COVID-19
Germany	DE	2020-25	<15yr	528	11477800	7.658262036278729	TESSy_COVID-19
Germany	DE	2020-26	<15yr	422	11477800	8.27684747948213	TESSy_COVID-19
Germany	DE	2020-27	<15yr	372	11477800	6.9177019986408546	TESSy_COVID-19
Germany	DE	2020-28	<15yr	363	11477800	6.403666207809859	TESSy_COVID-19
Germany	DE	2020-29	<15yr	427	11477800	6.882852114516719	TESSy_COVID-19
Germany	DE	2020-30	<15yr	501	11477800	8.085173116799387	TESSy_COVID-19
Germany	DE	2020-31	<15yr	597	11477800	9.566293192075136	TESSy_COVID-19
Germany	DE	2020-32	<15yr	837	11477800	12.4936834585025	TESSy_COVID-19
Germany	DE	2020-33	<15yr	1230	11477800	18.00867762114691	TESSy_COVID-19
Germany	DE	2020-34	<15yr	1227	11477800	21.4065413232501	TESSy_COVID-19
Germany	DE	2020-35	<15yr	1054	11477800	19.873146421788146	TESSy_COVID-19
Germany	DE	2020-36	<15yr	969	11477800	17.625328895781422	TESSy_COVID-19
Germany	DE	2020-37	<15yr	1041	11477800	17.51206677237798	TESSy_COVID-19
Germany	DE	2020-38	<15yr	1157	11477800	19.15001132621234	TESSy_COVID-19
Germany	DE	2020-39	<15yr	1268	11477800	21.12774225025702	TESSy_COVID-19
Germany	DE	2020-40	<15yr	1470	11477800	23.854745682970606	TESSy_COVID-19
Germany	DE	2020-41	<15yr	2284	11477800	32.706616250500964	TESSy_COVID-19
Germany	DE	2020-42	<15yr	3495	11477800	50.34937008834446	TESSy_COVID-19
Germany	DE	2020-43	<15yr	5992	11477800	82.65521267141787	TESSy_COVID-19
Germany	DE	2020-44	<15yr	9046	11477800	131.01813936468662	TESSy_COVID-19
Germany	DE	2020-45	<15yr	10470	11477800	170.03258464165606	TESSy_COVID-19
Germany	DE	2020-46	<15yr	11292	11477800	189.60079457735802	TESSy_COVID-19
Germany	DE	2020-47	<15yr	11533	11477800	198.86215128334698	TESSy_COVID-19
Germany	DE	2020-48	<15yr	11247	11477800	198.47009008695045	TESSy_COVID-19
Germany	DE	2020-49	<15yr	11053	11477800	194.28810399205423	TESSy_COVID-19
Germany	DE	2020-50	<15yr	12541	11477800	205.56204150621198	TESSy_COVID-19
Germany	DE	2020-51	<15yr	12604	11477800	219.07508407534544	TESSy_COVID-19
Germany	DE	2020-52	<15yr	8457	11477800	183.49335238460333	TESSy_COVID-19
Germany	DE	2020-53	<15yr	6031	11477800	126.226280297618	TESSy_COVID-19
Germany	DE	2020-01	15-24yr	0	8427265	NA	TESSy_COVID-19
Germany	DE	2020-02	15-24yr	NA	8427265	NA	TESSy_COVID-19
Germany	DE	2020-03	15-24yr	NA	8427265	NA	TESSy_COVID-19
Germany	DE	2020-04	15-24yr	0	8427265	NA	TESSy_COVID-19
Germany	DE	2020-05	15-24yr	0	8427265	0	TESSy_COVID-19
Germany	DE	2020-06	15-24yr	1	8427265	0.011866246047798425	TESSy_COVID-19
Germany	DE	2020-07	15-24yr	0	8427265	0.011866246047798425	TESSy_COVID-19
Germany	DE	2020-08	15-24yr	3	8427265	0.03559873814339528	TESSy_COVID-19
Germany	DE	2020-09	15-24yr	20	8427265	0.2729236590993638	TESSy_COVID-19
