
dateRep	day	month	year	cases	deaths	countriesAndTerritories	geoId	countryterritoryCode	popData2019	continentExp	Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
12/14/20	14	12	2020	16362	188	Germany	DE	DEU	83019213	Europe	341,13669567
12/13/20	13	12	2020	20200	321	Germany	DE	DEU	83019213	Europe	334,88151713
12/12/20	12	12	2020	28438	496	Germany	DE	DEU	83019213	Europe	328,14934056
12/11/20	11	12	2020	29875	598	Germany	DE	DEU	83019213	Europe	320,02712432
12/10/20	10	12	2020	23679	440	Germany	DE	DEU	83019213	Europe	311,5122279
12/9/20	9	12	2020	20815	590	Germany	DE	DEU	83019213	Europe	309,81262133
12/8/20	8	12	2020	14055	423	Germany	DE	DEU	83019213	Europe	307,18431407
12/7/20	7	12	2020	12332	147	Germany	DE	DEU	83019213	Europe	306,58083931
12/6/20	6	12	2020	17767	255	Germany	DE	DEU	83019213	Europe	304,81257393
12/5/20	5	12	2020	23318	483	Germany	DE	DEU	83019213	Europe	302,37217498
12/4/20	4	12	2020	23448	432	Germany	DE	DEU	83019213	Europe	301,94576766
12/3/20	3	12	2020	22046	479	Germany	DE	DEU	83019213	Europe	302,18667575
12/2/20	2	12	2020	17270	487	Germany	DE	DEU	83019213	Europe	302,86483202
12/1/20	1	12	2020	13604	388	Germany	DE	DEU	83019213	Europe	303,21535329
11/30/20	30	11	2020	11169	125	Germany	DE	DEU	83019213	Europe	304,19705376
11/29/20	29	11	2020	14611	158	Germany	DE	DEU	83019213	Europe	303,7814873
11/28/20	28	11	2020	21695	379	Germany	DE	DEU	83019213	Europe	306,59529379
11/27/20	27	11	2020	22806	426	Germany	DE	DEU	83019213	Europe	307,51797177
11/26/20	26	11	2020	22268	389	Germany	DE	DEU	83019213	Europe	308,40451354
11/25/20	25	11	2020	18633	410	Germany	DE	DEU	83019213	Europe	307,92028828
11/24/20	24	11	2020	13554	249	Germany	DE	DEU	83019213	Europe	307,74442538
11/23/20	23	11	2020	10864	90	Germany	DE	DEU	83019213	Europe	309,88609829
11/22/20	22	11	2020	15741	138	Germany	DE	DEU	83019213	Europe	312,89624487
11/21/20	21	11	2020	22964	254	Germany	DE	DEU	83019213	Europe	313,22869804
11/20/20	20	11	2020	23648	260	Germany	DE	DEU	83019213	Europe	313,75267313
11/19/20	19	11	2020	22609	251	Germany	DE	DEU	83019213	Europe	311,17254749
11/18/20	18	11	2020	17561	305	Germany	DE	DEU	83019213	Europe	308,01785606
11/17/20	17	11	2020	14419	267	Germany	DE	DEU	83019213	Europe	307,59988052
11/16/20	16	11	2020	10824	62	Germany	DE	DEU	83019213	Europe	308,72371676
11/15/20	15	11	2020	16947	107	Germany	DE	DEU	83019213	Europe	310,25709675
11/14/20	14	11	2020	22461	178	Germany	DE	DEU	83019213	Europe	306,92051971
11/13/20	13	11	2020	23542	218	Germany	DE	DEU	83019213	Europe	302,82267311
11/12/20	12	11	2020	21866	215	Germany	DE	DEU	83019213	Europe	296,96740199
11/11/20	11	11	2020	18487	261	Germany	DE	DEU	83019213	Europe	290,83388203
11/10/20	10	11	2020	15332	154	Germany	DE	DEU	83019213	Europe	286,59028603
11/9/20	9	11	2020	13363	63	Germany	DE	DEU	83019213	Europe	281,86487386
11/8/20	8	11	2020	16017	63	Germany	DE	DEU	83019213	Europe	276,23003364
11/7/20	7	11	2020	23399	130	Germany	DE	DEU	83019213	Europe	270,39885334
11/6/20	6	11	2020	21506	166	Germany	DE	DEU	83019213	Europe	259,93741955
11/5/20	5	11	2020	19990	118	Germany	DE	DEU	83019213	Europe	247,57401639
11/4/20	4	11	2020	17214	151	Germany	DE	DEU	83019213	Europe	237,09090087
11/3/20	3	11	2020	15352	131	Germany	DE	DEU	83019213	Europe	225,50442631
11/2/20	2	11	2020	12097	49	Germany	DE	DEU	83019213	Europe	215,28510515
11/1/20	1	11	2020	14177	29	Germany	DE	DEU	83019213	Europe	205,92341679
10/31/20	31	10	2020	19059	103	Germany	DE	DEU	83019213	Europe	195,57641434
10/30/20	30	10	2020	18681	77	Germany	DE	DEU	83019213	Europe	182,05062965
10/29/20	29	10	2020	16774	89	Germany	DE	DEU	83019213	Europe	168,38270919
10/28/20	28	10	2020	14964	85	Germany	DE	DEU	83019213	Europe	156,17348721
10/27/20	27	10	2020	11409	42	Germany	DE	DEU	83019213	Europe	144,33044553
10/26/20	26	10	2020	8685	24	Germany	DE	DEU	83019213	Europe	135,55295929
10/25/20	25	10	2020	11176	29	Germany	DE	DEU	83019213	Europe	128,06312678
