country;country_code;continent;population;indicator;weekly_count;year_week;rate_14_day;cumulative_count;source;note
Germany;DEU;Europe;83237124;cases;1;2020-01;NA;1;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;NA;2020-02;NA;NA;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;NA;2020-03;NA;NA;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;1;2020-04;NA;2;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;9;2020-05;0.012013870157263002;11;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;9;2020-06;0.021624966283073404;20;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;5;2020-07;0.016819418220168202;25;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;6;2020-08;0.013215257172989303;31;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;139;2020-09;0.17420111728031354;170;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;905;2020-10;1.2542480444182573;1075;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;6441;2020-11;8.825389017525401;7516;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;22406;2020-12;34.65641124265658;29922;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;33980;2020-13;67.74140826874316;63902;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;36067;2020-14;84.15355629058016;99969;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;27145;2020-15;75.94207603809089;127114;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;17346;2020-16;53.45090971667882;144460;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;12351;2020-17;35.677590206023936;156811;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;7442;2020-18;23.77905320227066;164253;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;6243;2020-19;16.44098131021442;170496;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;4775;2020-20;13.236882139272376;175271;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;3604;2020-21;10.06642180477067;178875;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;3206;2020-22;8.181445577096104;182081;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;2354;2020-23;6.679711807438229;184435;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;2348;2020-24;5.648921747945064;186783;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;4192;2020-25;7.857071082850004;190975;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;3167;2020-26;8.841007048729843;194142;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;2691;2020-27;7.037725138124666;196833;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;2428;2020-28;6.149900133502931;199261;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;3044;2020-29;6.573989750054315;202305;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;3936;2020-30;8.385681369769575;206241;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;4843;2020-31;10.54697661106119;211084;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;6067;2020-32;13.107132341573935;217151;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;7971;2020-33;16.865070926765803;225122;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;9580;2020-34;21.085543513012293;234702;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;8844;2020-35;22.134354377741357;243546;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;8609;2020-36;20.967807585471117;252155;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;9785;2020-37;22.098312767269565;261940;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;12285;2020-38;26.514611437079445;274225;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;13064;2020-39;30.453959461645983;287289;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;15946;2020-40;34.85223732621997;303235;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;26145;2020-41;50.5675808789357;329380;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;42031;2020-42;81.90576118415625;371411;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;74791;2020-43;140.34843395117784;446202;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;111004;2020-44;223.21170058686795;557206;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;125681;2020-45;284.3502858171794;682887;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;127870;2020-46;304.61287922441915;810757;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;128398;2020-47;307.8770477461475;939155;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;123123;2020-48;302.17406358249474;1062278;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;128257;2020-49;302.00466801327735;1190535;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;156214;2020-50;341.75976575067637;1346749;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;174585;2020-51;397.4176234152444;1521334;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;138827;2020-52;376.5291073728112;1660161;TESSy COVID-19;
Germany;DEU;Europe;83237124;cases;122954;2020-53;314.5002943638466;1783115;TESSy COVID-19;
