dateRep	day	month	year	cases	deaths	countriesAndTerritories	geoId	countryterritoryCode	popData2020	continentExp
31/12/2020	31	12	2020	19592	779	Germany	DE	DEU	83166711	Europe
30/12/2020	30	12	2020	31056	1296	Germany	DE	DEU	83166711	Europe
29/12/2020	29	12	2020	27563	1252	Germany	DE	DEU	83166711	Europe
28/12/2020	28	12	2020	15737	896	Germany	DE	DEU	83166711	Europe
27/12/2020	27	12	2020	9808	530	Germany	DE	DEU	83166711	Europe
26/12/2020	26	12	2020	11543	580	Germany	DE	DEU	83166711	Europe
25/12/2020	25	12	2020	13148	511	Germany	DE	DEU	83166711	Europe
24/12/2020	24	12	2020	21143	710	Germany	DE	DEU	83166711	Europe
23/12/2020	23	12	2020	33969	1253	Germany	DE	DEU	83166711	Europe
22/12/2020	22	12	2020	28973	1198	Germany	DE	DEU	83166711	Europe
21/12/2020	21	12	2020	20297	926	Germany	DE	DEU	83166711	Europe
20/12/2020	20	12	2020	13902	545	Germany	DE	DEU	83166711	Europe
19/12/2020	19	12	2020	21693	775	Germany	DE	DEU	83166711	Europe
18/12/2020	18	12	2020	29751	1052	Germany	DE	DEU	83166711	Europe
17/12/2020	17	12	2020	31952	1168	Germany	DE	DEU	83166711	Europe
16/12/2020	16	12	2020	31356	1070	Germany	DE	DEU	83166711	Europe
15/12/2020	15	12	2020	26927	1016	Germany	DE	DEU	83166711	Europe
14/12/2020	14	12	2020	19073	831	Germany	DE	DEU	83166711	Europe
13/12/2020	13	12	2020	12497	519	Germany	DE	DEU	83166711	Europe
12/12/2020	12	12	2020	20606	768	Germany	DE	DEU	83166711	Europe
11/12/2020	11	12	2020	27248	979	Germany	DE	DEU	83166711	Europe
10/12/2020	10	12	2020	29040	1080	Germany	DE	DEU	83166711	Europe
09/12/2020	9	12	2020	27632	848	Germany	DE	DEU	83166711	Europe
08/12/2020	8	12	2020	22800	862	Germany	DE	DEU	83166711	Europe
07/12/2020	7	12	2020	16464	697	Germany	DE	DEU	83166711	Europe
06/12/2020	6	12	2020	10234	363	Germany	DE	DEU	83166711	Europe
05/12/2020	5	12	2020	15728	515	Germany	DE	DEU	83166711	Europe
04/12/2020	4	12	2020	22251	811	Germany	DE	DEU	83166711	Europe
03/12/2020	3	12	2020	24420	852	Germany	DE	DEU	83166711	Europe
02/12/2020	2	12	2020	23201	740	Germany	DE	DEU	83166711	Europe
01/12/2020	1	12	2020	19217	658	Germany	DE	DEU	83166711	Europe
30/11/2020	30	11	2020	13293	537	Germany	DE	DEU	83166711	Europe
29/11/2020	29	11	2020	8784	328	Germany	DE	DEU	83166711	Europe
28/11/2020	28	11	2020	14938	405	Germany	DE	DEU	83166711	Europe
27/11/2020	27	11	2020	20143	626	Germany	DE	DEU	83166711	Europe
26/11/2020	26	11	2020	22760	658	Germany	DE	DEU	83166711	Europe
25/11/2020	25	11	2020	22044	590	Germany	DE	DEU	83166711	Europe
24/11/2020	24	11	2020	19407	514	Germany	DE	DEU	83166711	Europe
23/11/2020	23	11	2020	15074	475	Germany	DE	DEU	83166711	Europe
22/11/2020	22	11	2020	8818	285	Germany	DE	DEU	83166711	Europe
21/11/2020	21	11	2020	14770	344	Germany	DE	DEU	83166711	Europe
20/11/2020	20	11	2020	22294	533	Germany	DE	DEU	83166711	Europe
19/11/2020	19	11	2020	23748	567	Germany	DE	DEU	83166711	Europe
18/11/2020	18	11	2020	23703	533	Germany	DE	DEU	83166711	Europe
17/11/2020	17	11	2020	20355	513	Germany	DE	DEU	83166711	Europe
16/11/2020	16	11	2020	14693	450	Germany	DE	DEU	83166711	Europe
15/11/2020	15	11	2020	8841	224	Germany	DE	DEU	83166711	Europe
14/11/2020	14	11	2020	15793	372	Germany	DE	DEU	83166711	Europe
13/11/2020	13	11	2020	21383	416	Germany	DE	DEU	83166711	Europe
12/11/2020	12	11	2020	23526	432	Germany	DE	DEU	83166711	Europe
11/11/2020	11	11	2020	22702	418	Germany	DE	DEU	83166711	Europe
10/11/2020	10	11	2020	19616	347	Germany	DE	DEU	83166711	Europe
09/11/2020	9	11	2020	15995	323	Germany	DE	DEU	83166711	Europe
08/11/2020	8	11	2020	10134	166	Germany	DE	DEU	83166711	Europe
07/11/2020	7	11	2020	15936	218	Germany	DE	DEU	83166711	Europe
06/11/2020	6	11	2020	21578	252	Germany	DE	DEU	83166711	Europe
05/11/2020	5	11	2020	22277	340	Germany	DE	DEU	83166711	Europe
04/11/2020	4	11	2020	21202	317	Germany	DE	DEU	83166711	Europe
03/11/2020	3	11	2020	19354	331	Germany	DE	DEU	83166711	Europe
02/11/2020	2	11	2020	15252	278	Germany	DE	DEU	83166711	Europe
01/11/2020	1	11	2020	10523	169	Germany	DE	DEU	83166711	Europe
31/10/2020	31	10	2020	13998	194	Germany	DE	DEU	83166711	Europe
30/10/2020	30	10	2020	19407	261	Germany	DE	DEU	83166711	Europe
29/10/2020	29	10	2020	19848	269	Germany	DE	DEU	83166711	Europe
28/10/2020	28	10	2020	19247	246	Germany	DE	DEU	83166711	Europe
27/10/2020	27	10	2020	15939	237	Germany	DE	DEU	83166711	Europe
26/10/2020	26	10	2020	12026	240	Germany	DE	DEU	83166711	Europe
25/10/2020	25	10	2020	7452	125	Germany	DE	DEU	83166711	Europe
24/10/2020	24	10	2020	11098	123	Germany	DE	DEU	83166711	Europe
23/10/2020	23	10	2020	14039	199	Germany	DE	DEU	83166711	Europe
22/10/2020	22	10	2020	13930	205	Germany	DE	DEU	83166711	Europe
21/10/2020	21	10	2020	12409	143	Germany	DE	DEU	83166711	Europe
20/10/2020	20	10	2020	9454	129	Germany	DE	DEU	83166711	Europe
19/10/2020	19	10	2020	6489	87	Germany	DE	DEU	83166711	Europe
18/10/2020	18	10	2020	3678	54	Germany	DE	DEU	83166711	Europe
17/10/2020	17	10	2020	5687	60	Germany	DE	DEU	83166711	Europe
16/10/2020	16	10	2020	7980	91	Germany	DE	DEU	83166711	Europe
15/10/2020	15	10	2020	7903	81	Germany	DE	DEU	83166711	Europe
14/10/2020	14	10	2020	7249	63	Germany	DE	DEU	83166711	Europe
13/10/2020	13	10	2020	5369	57	Germany	DE	DEU	83166711	Europe
12/10/2020	12	10	2020	4189	59	Germany	DE	DEU	83166711	Europe
11/10/2020	11	10	2020	2272	25	Germany	DE	DEU	83166711	Europe
10/10/2020	10	10	2020	3631	39	Germany	DE	DEU	83166711	Europe
09/10/2020	9	10	2020	5061	44	Germany	DE	DEU	83166711	Europe
08/10/2020	8	10	2020	4664	43	Germany	DE	DEU	83166711	Europe
07/10/2020	7	10	2020	4494	34	Germany	DE	DEU	83166711	Europe
06/10/2020	6	10	2020	3592	27	Germany	DE	DEU	83166711	Europe
05/10/2020	5	10	2020	2413	34	Germany	DE	DEU	83166711	Europe
04/10/2020	4	10	2020	1157	9	Germany	DE	DEU	83166711	Europe
03/10/2020	3	10	2020	2196	12	Germany	DE	DEU	83166711	Europe
02/10/2020	2	10	2020	2927	25	Germany	DE	DEU	83166711	Europe
01/10/2020	1	10	2020	2928	26	Germany	DE	DEU	83166711	Europe
30/09/2020	30	9	2020	2737	16	Germany	DE	DEU	83166711	Europe
29/09/2020	29	9	2020	2163	14	Germany	DE	DEU	83166711	Europe
28/09/2020	28	9	2020	1834	19	Germany	DE	DEU	83166711	Europe
27/09/2020	27	9	2020	874	7	Germany	DE	DEU	83166711	Europe
26/09/2020	26	9	2020	1785	26	Germany	DE	DEU	83166711	Europe
25/09/2020	25	9	2020	2333	15	Germany	DE	DEU	83166711	Europe
24/09/2020	24	9	2020	2393	18	Germany	DE	DEU	83166711	Europe
23/09/2020	23	9	2020	2212	11	Germany	DE	DEU	83166711	Europe
22/09/2020	22	9	2020	1816	15	Germany	DE	DEU	83166711	Europe
21/09/2020	21	9	2020	1657	18	Germany	DE	DEU	83166711	Europe
20/09/2020	20	9	2020	691	10	Germany	DE	DEU	83166711	Europe
19/09/2020	19	9	2020	1392	12	Germany	DE	DEU	83166711	Europe
18/09/2020	18	9	2020	2168	14	Germany	DE	DEU	83166711	Europe
17/09/2020	17	9	2020	2356	9	Germany	DE	DEU	83166711	Europe
16/09/2020	16	9	2020	2196	15	Germany	DE	DEU	83166711	Europe
15/09/2020	15	9	2020	2002	16	Germany	DE	DEU	83166711	Europe
14/09/2020	14	9	2020	1489	5	Germany	DE	DEU	83166711	Europe
13/09/2020	13	9	2020	762	8	Germany	DE	DEU	83166711	Europe
12/09/2020	12	9	2020	1224	8	Germany	DE	DEU	83166711	Europe
11/09/2020	11	9	2020	1651	12	Germany	DE	DEU	83166711	Europe
10/09/2020	10	9	2020	1589	6	Germany	DE	DEU	83166711	Europe
09/09/2020	9	9	2020	1746	9	Germany	DE	DEU	83166711	Europe
08/09/2020	8	9	2020	1381	19	Germany	DE	DEU	83166711	Europe
07/09/2020	7	9	2020	1413	6	Germany	DE	DEU	83166711	Europe
06/09/2020	6	9	2020	579	4	Germany	DE	DEU	83166711	Europe
05/09/2020	5	9	2020	1107	7	Germany	DE	DEU	83166711	Europe
04/09/2020	4	9	2020	1495	7	Germany	DE	DEU	83166711	Europe
03/09/2020	3	9	2020	1516	7	Germany	DE	DEU	83166711	Europe
02/09/2020	2	9	2020	1411	3	Germany	DE	DEU	83166711	Europe
01/09/2020	1	9	2020	1323	3	Germany	DE	DEU	83166711	Europe
31/08/2020	31	8	2020	1186	4	Germany	DE	DEU	83166711	Europe
30/08/2020	30	8	2020	535	3	Germany	DE	DEU	83166711	Europe
29/08/2020	29	8	2020	834	2	Germany	DE	DEU	83166711	Europe
28/08/2020	28	8	2020	1390	3	Germany	DE	DEU	83166711	Europe
27/08/2020	27	8	2020	1542	1	Germany	DE	DEU	83166711	Europe
26/08/2020	26	8	2020	1618	2	Germany	DE	DEU	83166711	Europe
25/08/2020	25	8	2020	1487	2	Germany	DE	DEU	83166711	Europe
24/08/2020	24	8	2020	1427	5	Germany	DE	DEU	83166711	Europe
23/08/2020	23	8	2020	565	0	Germany	DE	DEU	83166711	Europe
22/08/2020	22	8	2020	918	2	Germany	DE	DEU	83166711	Europe
21/08/2020	21	8	2020	1657	3	Germany	DE	DEU	83166711	Europe
20/08/2020	20	8	2020	1620	7	Germany	DE	DEU	83166711	Europe
19/08/2020	19	8	2020	1753	1	Germany	DE	DEU	83166711	Europe
18/08/2020	18	8	2020	1533	10	Germany	DE	DEU	83166711	Europe
17/08/2020	17	8	2020	1549	8	Germany	DE	DEU	83166711	Europe
16/08/2020	16	8	2020	493	5	Germany	DE	DEU	83166711	Europe
15/08/2020	15	8	2020	756	4	Germany	DE	DEU	83166711	Europe
