YearWeekISO	ReportingCountry	Denominator	NumberDosesReceived	NumberDosesExported	FirstDose	FirstDoseRefused	SecondDose	DoseAdditional1	DoseAdditional2	DoseAdditional3	UnknownDose	Region	TargetGroup
2020-W52	DE	24089773	0	15351	0	0	0	0	0	DE	1_Age60+	UNK	83166711
2020-W52	DE	45321314	0	9047	0	0	0	0	0	DE	1_Age<60	UNK	83166711
2020-W52	DE	69411087	151125	0	24398	0	0	0	0	0	DE	ALL	UNK
2020-W52	DE	13743944	0	29	0	0	0	0	0	DE	Age<18	UNK	83166711
2020-W53	DE	24089773	0	151073	0	0	0	0	0	DE	1_Age60+	UNK	83166711
2020-W53	DE	45321314	0	127169	0	0	0	0	0	DE	1_Age<60	UNK	83166711
2020-W53	DE	69411087	1174875	0	278242	0	0	0	0	0	DE	ALL	UNK
2020-W53	DE	13743944	0	430	0	0	0	0	0	DE	Age<18	UNK	83166711
2021-W01	DE	24089773	0	204294	0	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W01	DE	45321314	0	171357	0	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W01	DE	69411087	687375	0	375651	0	0	0	0	0	DE	ALL	UNK
2021-W01	DE	13743944	0	651	0	0	0	0	0	DE	Age<18	UNK	83155031
2021-W02	DE	24089773	0	286030	12229	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W02	DE	45321314	0	236364	7053	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W02	DE	69411087	63600	0	522394	19282	0	0	0	0	DE	ALL	UNK
2021-W02	DE	13743944	0	1048	22	0	0	0	0	DE	Age<18	UNK	83155031
2021-W03	DE	24089773	0	238584	137390	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W03	DE	45321314	0	190952	111182	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W03	DE	69411087	842400	0	429536	248572	0	0	0	0	DE	ALL	UNK
2021-W03	DE	13743944	0	738	549	0	0	0	0	DE	Age<18	UNK	83155031
2021-W04	DE	24089773	0	197371	178499	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W04	DE	45321314	0	114344	154452	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W04	DE	69411087	579060	0	311715	332951	0	0	0	0	DE	ALL	UNK
2021-W04	DE	13743944	0	492	556	0	0	0	0	DE	Age<18	UNK	83155031
2021-W05	DE	24089773	0	196810	253505	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W05	DE	45321314	0	196735	198580	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W05	DE	69411087	1093230	0	393545	452085	0	0	0	0	DE	ALL	UNK
2021-W05	DE	13743944	0	682	806	0	0	0	0	DE	Age<18	UNK	83155031
2021-W06	DE	24089773	0	288210	228204	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W06	DE	45321314	0	160273	196645	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W06	DE	69411087	1138830	0	448483	424849	0	0	0	0	DE	ALL	UNK
2021-W06	DE	13743944	0	587	659	0	0	0	0	DE	Age<18	UNK	83155031
2021-W07	DE	24089773	0	375668	204153	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W07	DE	45321314	0	196701	138336	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W07	DE	69411087	1802010	0	572369	342489	0	0	0	0	DE	ALL	UNK
2021-W07	DE	13743944	0	782	505	0	0	0	0	DE	Age<18	UNK	83155031
2021-W08	DE	24089773	0	460210	188107	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W08	DE	45321314	0	330839	181078	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W08	DE	69411087	1269540	0	791049	369185	0	0	0	0	DE	ALL	UNK
2021-W08	DE	13743944	0	925	648	0	0	0	0	DE	Age<18	UNK	83155031
2021-W09	DE	24089773	0	607211	269815	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W09	DE	45321314	0	547227	116047	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W09	DE	69411087	1664790	0	1154438	385862	0	0	0	0	DE	ALL	UNK
2021-W09	DE	13743944	0	1397	493	0	0	0	0	DE	Age<18	UNK	83155031
2021-W10	DE	24089773	0	713372	324595	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W10	DE	45321314	0	700454	68044	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W10	DE	69411087	2043420	0	1413826	392639	0	0	0	0	DE	ALL	UNK
2021-W10	DE	13743944	0	2029	375	0	0	0	0	DE	Age<18	UNK	83155031
2021-W11	DE	24089773	0	667878	394444	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W11	DE	45321314	0	331568	66612	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W11	DE	69411087	1880220	0	999446	461056	0	0	0	0	DE	ALL	UNK
2021-W11	DE	13743944	0	2138	579	0	0	0	0	DE	Age<18	UNK	83155031
2021-W12	DE	24089773	0	905613	476742	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W12	DE	45321314	0	650999	60009	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W12	DE	69411087	1482000	0	1556612	536751	0	0	0	0	DE	ALL	UNK
2021-W12	DE	13743944	0	2951	836	0	0	0	0	DE	Age<18	UNK	83155031
2021-W13	DE	24089773	0	943252	495668	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W13	DE	45321314	0	448264	61197	0	0	0	0	DE	1_Age<60	UNK	83155031
2021-W13	DE	69411087	3822600	0	1391516	556865	0	0	0	0	DE	ALL	UNK
2021-W13	DE	13743944	0	2907	1087	0	0	0	0	DE	Age<18	UNK	83155031
2021-W14	DE	24089773	0	1994067	472314	0	0	0	0	DE	1_Age60+	UNK	83155031
2021-W14	DE	45321314	0	784318	80101	0	0	0	0	DE	1_Age<60	UNK	83155031
