country	country_code	year_week	source	new_cases	number_sequenced	percent_cases_sequenced	valid_denominator	variant	number_detections_variant	number_sequenced_known_variant	percent_variant





Germany	DE	2020-01	GISAID	1	0	0	TRUE	Other	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	XBB.1.5	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	B.1.351	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	B.1.617.2	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	B.1.1.7	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	B.1.427/B.1.429	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	B.1.525	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	B.1.616	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	B.1.617.1	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	B.1.620	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	B.1.621	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	BA.1	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	BA.2	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	BA.2.75	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	BA.4	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	BA.5	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	BQ.1	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	C.37	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	P.1	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	P.3	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	XBB	0	0	NA
Germany	DE	2020-01	GISAID	1	0	0	TRUE	UNK	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	Other	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	XBB.1.5	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	B.1.351	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	B.1.617.2	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	B.1.1.7	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	B.1.427/B.1.429	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	B.1.525	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	B.1.616	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	B.1.617.1	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	B.1.620	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	B.1.621	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	BA.1	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	BA.2	0	0	NA
Germany	DE	2020-02	GISAID	NA	0	0	TRUE	BA.2.75	0	0	NA
